Time,kWh,Th
2008-01-01,"2,093,000",
2008-02-01,"2,009,000",
2008-03-01,"1,841,000",
2008-04-01,"2,229,500",
2008-05-01,"2,264,500",
2008-06-01,"3,206,000",
2008-07-01,"2,968,000",
2008-08-01,"3,045,000",
2008-09-01,"3,255,000",
2008-10-01,"2,394,000",
2008-11-01,"2,320,500",
2008-12-01,"2,362,500","208,500"
2009-01-01,"2,163,000","258,400"
2009-02-01,"2,411,500","196,400"
2009-03-01,"2,282,000","191,711"
2009-04-01,"2,285,500","119,100"
2009-05-01,"2,264,500","80,600"
2009-06-01,"3,167,500","67,200"
2009-07-01,"2,880,500","69,900"
2009-08-01,"3,829,000","73,800"
2009-09-01,"3,318,000","79,500"
2009-10-01,"2,614,500","112,600"
2009-11-01,"2,523,500","142,600"
2009-12-01,"2,492,000","279,900"
2010-01-01,"2,740,500","233,556"
2010-02-01,"2,163,000","241,537"
2010-03-01,"2,331,000","172,749"
2010-04-01,"2,453,500","114,208"
2010-05-01,"2,821,000","68,000"
2010-06-01,"3,216,500","60,600"
2010-07-01,"3,395,000","63,000"
2010-08-01,"3,491,000","65,000"
2010-09-01,"3,157,000","70,100"
2010-10-01,"2,765,000","111,600"
2010-11-01,"2,726,500","157,700"
2010-12-01,"2,317,000","284,780"
2011-01-01,"2,411,500","279,359"
2011-02-01,"2,492,000","225,500"
2011-03-01,"2,372,000","202,900"
2011-04-01,"2,387,000","112,200"
2011-05-01,"3,073,000","84,100"
2011-06-01,"3,325,000","73,331"
2011-07-01,"3,545,500","69,848"
2011-08-01,"3,976,000","73,071"
2011-09-01,"3,265,500","70,706"
2011-10-01,"2,880,500","109,987"
2011-11-01,"2,691,500","137,326"
2011-12-01,"2,433,500","177,736"
2012-01-01,"2,859,500","174,438"
2012-02-01,"2,205,000","208,922"
2012-03-01,"2,467,500","173,799"
2012-04-01,"2,618,000","130,671"
2012-05-01,"2,999,500","128,915"
2012-06-01,"3,265,500","78,514"
2012-07-01,"4,084,500","70,153"
2012-08-01,"3,797,500","67,201"
2012-09-01,"3,619,000","70,098"
2012-10-01,"2,817,500","88,727"
2012-11-01,"2,614,500","107,356"
2012-12-01,"2,863,000","165,519"
2013-01-01,"2,843,500","169,392"
2013-02-01,"2,562,000","205,147"
2013-03-01,"2,643,500","199,840"
2013-04-01,"2,929,800","198,036"
2013-05-01,"2,854,100","138,056"
2013-06-01,"3,568,000","116,465"
2013-07-01,"4,159,600","82,365"
2013-08-01,"3,616,900","74,224"
2013-09-01,"3,707,500","74,816"
2013-10-01,"2,895,500","82,855"
2013-11-01,"3,012,000","105,156"
2013-12-01,"2,632,600","171,004"
2014-01-01,"2,819,263","214,772"
2014-02-01,"2,559,057","198,150"
2014-03-01,"2,478,012","188,545"
2014-04-01,"2,614,325","120,646"
2014-05-01,"2,874,811","88,145"
2014-06-01,"3,271,403","69,259"
2014-07-01,"3,910,384","72,554"
2014-08-01,"3,332,188","73,974"
2014-09-01,"3,451,444","76,038"
2014-10-01,"2,930,480","105,541"
2014-11-01,"2,724,150","199,207"
2014-12-01,"2,577,075","194,619"
2015-01-01,"2,744,728","317,511"
2015-02-01,"2,723,887","291,782"
2015-03-01,"3,003,908","224,536"
2015-04-01,"2,713,211","132,501"
2015-05-01,"2,766,156","86,484"
2015-06-01,"3,672,506","73,202"
2015-07-01,"3,644,537","73,084"
2015-08-01,"3,647,894","79,169"
2015-09-01,"3,795,185","78,342"
2015-10-01,"2,853,341","110,264"
2015-11-01,"2,654,034","134,651"
2015-12-01,"2,685,810","144,049"
2016-01-01,"2,478,989","250,598"
2016-02-01,"2,723,695","209,602"
2016-03-01,"2,445,362","157,881"
2016-04-01,"2,617,839","143,019"
2016-05-01,"2,963,464","94,660"
2016-06-01,"3,309,089","80,217"
2016-07-01,"3,660,859","78,565"
2016-08-01,"3,790,299","80,086"
2016-09-01,"3,844,684","79,083"
2016-10-01,"3,085,084","106,482"
2016-11-01,"2,640,207","149,089"
2016-12-01,"2,745,615","210,714"
2017-01-01,"2,554,562","209,947"
2017-02-01,"2,489,681","171,869"
2017-03-01,"2,576,408","199,626"
2017-04-01,"2,475,479","107,457"
2017-05-01,"2,935,517","99,517"
2017-06-01,"3,078,428","77,461"
2017-07-01,"3,538,834","77,084"
2017-08-01,"3,309,164","78,503"
2017-09-01,"3,544,633","78,945"
2017-10-01,"3,185,431","104,649"
2017-11-01,"2,881,674","160,959"
2017-12-01,"2,500,829","227,538"
2018-01-01,"2,470,516","239,388"
2018-02-01,"2,647,527","162,119"
2018-03-01,"2,457,617","200,324"
2018-04-01,"2,530,959","138,480"
2018-05-01,"2,806,322","78,744"
2018-06-01,"3,182,879","71,265"
2018-07-01,"3,432,811","73,148"
2018-08-01,"3,716,013","71,891"
2018-09-01,"3,231,863","76,020"
2018-10-01,"3,107,225","115,414"
2018-11-01,"2,533,210","171,718"
2018-12-01,"2,687,188","200,279"
2019-01-01,"2,249,318","241,614"
2019-02-01,"2,614,935","217,533"
2019-03-01,"2,256,034","193,452"
2019-04-01,"2,465,486","125,815"
2019-05-01,"2,876,538","89,934"
2019-06-01,"3,117,173","82,280"
2019-07-01,"3,729,192","80,987"
2019-08-01,"3,366,307","83,580"
2019-09-01,"3,366,307","81,505"
2019-10-01,"2,935,038","108,742"
2019-11-01,"2,790,884","186,892"
2019-12-01,"2,293,201","200,236"
2020-01-01,"2,522,844","202,376"
2020-02-01,"2,463,546","181,891"
2020-03-01,"2,213,257","156,463"
